Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Number of Courts,Court Count Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Title,Public Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Email Domain,Qualification Status,Research Notes,Source URLs,Retrieval Method,Requested URL,Final URL,Failure Reason
Asheville,https://828newsnow.com/,Asheville,NC,School,pickleball,Indoor,,,,,,,,,,,,,,828newsnow.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://828newsnow.com/ | https://828newsnow.com/about-us/ | https://828newsnow.com/contact-us/,Playwright,https://828newsnow.com,https://828newsnow.com/,
Asheville Buncombe Regional Sports Commission,https://ashevillesportscommission.com/,Asheville,NC,Unknown,pickleball; tennis; basketball,Indoor,6,"eville hosted the Billie Jean King Cup. For one week, that court will be transformed into six pickleball courts and opened to the local community. “We are truly excited to dip our toes into the pickleb",Chris,Smith,President,chris@ashevillesports.org,info@ashevillesports.org,,,,,,,ashevillesports.org,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. Paid access signals present (membership/rental/program).,https://ashevillesportscommission.com/ | https://ashevillesportscommission.com/staff | https://ashevillesportscommission.com/contact-1 | https://ashevillesportscommission.com/history | https://ashevillesportscommission.com/news-1/2026/7/20/blue-ridge-pickleball-takes-center-court-in-asheville-aug-1216 | https://ashevillesportscommission.com/about,Playwright,https://ashevillesportscommission.com,https://ashevillesportscommission.com/,
Asheville Sports Club,https://www.ashevillesportsclub.com/,Asheville,NC,Private Club,pickleball,Indoor,,,,,,,,,,,,,,ashevillesportsclub.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.ashevillesportsclub.com/ | https://www.ashevillesportsclub.com/reserve | https://www.ashevillesportsclub.com/contact,Playwright,https://ashevillesportsclub.com,https://www.ashevillesportsclub.com/,
Asheville Vacation Rentals,https://www.greybeardrentals.com/,Black Mountain,NC,Unknown,pickleball,Indoor,1,5.0 The Creeks of Serendipity 4 Beds 4 Baths 2 Half 8 Guests Black Mountain Rating: 5.0 Stone Court 3 Beds 2 Baths 6 Guests Black Mountain Rating: 4.9 Blueberry Grove 3 Beds 2 Baths 6 Guest,,,,,,,,,,,,greybeardrentals.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://www.greybeardrentals.com/ | https://www.greybeardrentals.com/asheville-vacation-rentals#q=*%3A* | https://www.greybeardrentals.com/asheville-vacation-rentals/pet-friendly#q=im_nid%24rc_core_term_landing_pages%24tid%3A%22143%22 | https://www.greybeardrentals.com/asheville-vacation-rentals/newly-added-asheville-cabins#q=bs_nid%24field_new_to_inventory%3Atrue | https://www.greybeardrentals.com/asheville-vacation-rentals/black-mountain-cabin-rentals#q=im_nid%24rc_core_term_landing_pages%24tid%3A%22160%22 | https://www.greybeardrentals.com/asheville-vacation-rentals/montreat-rentals#q=im_nid%24rc_core_term_landing_pages%24tid%3A%22155%22,Playwright,https://greybeardrentals.com,https://www.greybeardrentals.com/,
Athletes Lab Performance Center,https://www.athleteslab.org/,Maiden,NC,College / University,basketball; volleyball,Indoor,,,Cameron,Beard,President,,,cameron@athleteslab.org,cameron.beard@athleteslab.org,cameronbeard@athleteslab.org,cbeard@athleteslab.org,c.beard@athleteslab.org,cameronb@athleteslab.org,athleteslab.org,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://www.athleteslab.org/ | https://www.athleteslab.org/softball-1,Playwright,https://athleteslab.org,https://www.athleteslab.org/,
Ballcrank,https://ballcrank.com/,,NC,Pickleball Club,pickleball,Indoor,12,"o the Asheville area. Built for play, connection, and community. Become a Founding Member 12 Indoor Courts Video Capture Bar + Café + Patio + Social Spaces Leagues, Lessons & Tournament Play Court",,,,,,,,,,,,ballcrank.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: mention. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://ballcrank.com/,Playwright,https://ballcrank.com,https://ballcrank.com/,
"Baller Sports Center | Burlington, NC - Home of Volleyballer Training & Baller Basketball",https://www.ballersportscenter.com/,Burlington,NC,College / University,basketball; volleyball,Indoor,,,,,,,,,,,,,,ballersportscenter.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.ballersportscenter.com/ | https://www.ballersportscenter.com/contact-us1.html | https://www.ballersportscenter.com/gym-rentals.html | https://www.ballersportscenter.com/contact-us.html | https://www.ballersportscenter.com/training-room-rentals.html | https://www.ballersportscenter.com/who-we-are.html,Playwright,https://ballersportscenter.com,https://www.ballersportscenter.com/,
Base Futsal,https://www.basefutsal.com/,,NC,School,futsal,Indoor,,,CRISTIANO,DIAS,Founder,,info@basefutsal.com,cristiano@basefutsal.com,cristiano.dias@basefutsal.com,cristianodias@basefutsal.com,cdias@basefutsal.com,c.dias@basefutsal.com,cristianod@basefutsal.com,basefutsal.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://www.basefutsal.com/ | https://www.basefutsal.com/store/p/11under-membership-fri-6pm | https://www.basefutsal.com/store/p/12older-membership-fri-7pm,Playwright,https://basefutsal.com,https://www.basefutsal.com/,
Basketball Shooting Machine,https://www.drdishbasketball.com/,Charlotte,NC,College / University,basketball,Indoor,,,,,,,info@drdishbasketball.com,,,,,,,drdishbasketball.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.drdishbasketball.com/ | https://www.drdishbasketball.com/upgrade | https://www.drdishbasketball.com/home/membership | https://www.drdishbasketball.com/facilities | https://www.drdishbasketball.com/facilities/products/fclty | https://www.drdishbasketball.com/facilities/products/fclty1 | https://www.drdishbasketball.com/facilities/featured,Playwright,https://drdishbasketball.com,https://www.drdishbasketball.com/,
Bay Area Bears,https://bayareabears.net/,King,NC,School,basketball; volleyball,Indoor,,,,,,hunter25sail@msn.com,,,,,,,,bayareabears.net,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://bayareabears.net/ | https://bayareabears.net/who-we-are/ | https://bayareabears.net/contact/ | https://bayareabears.net/about-pba-carolina/ | https://bayareabears.net/membership/ | https://bayareabears.net/team-rental/,Playwright,https://bayareabears.net,https://bayareabears.net/,
Belmont Abbey College,https://abbeyathletics.com/,Belmont,NC,College / University,tennis; basketball; volleyball,Indoor,7,"nd administrator, Dr. Michael P. Reidy. The facility was built in the summer of 2013 with seven courts. In summer 2016, an additional four courts were added giving the Crusaders 11 courts for",,,,,,,,,,,,abbeyathletics.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://abbeyathletics.com/ | https://abbeyathletics.com/staff-directory | https://abbeyathletics.com/facilities | https://abbeyathletics.com/facilities/abbey-yard/1 | https://abbeyathletics.com/facilities/alumni-field/4 | https://abbeyathletics.com/facilities/crusader-field/3 | https://abbeyathletics.com/facilities/reidy-tennis-center/13,Playwright,https://abbeyathletics.com,https://abbeyathletics.com/,
Blue Sky Volleyball,https://blueskyvolleyball.com/,Cary,NC,College / University,volleyball,Indoor,,,,,,tristy@blueskyvolleyball.com,,,,,,,,blueskyvolleyball.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://blueskyvolleyball.com/ | https://blueskyvolleyball.com/about/mission/ | https://blueskyvolleyball.com/about/our-story/ | https://blueskyvolleyball.com/about/rules-we-play-by/ | https://blueskyvolleyball.com/about/facilities-used/ | https://blueskyvolleyball.com/about/testimonials/,Playwright,https://blueskyvolleyball.com,https://blueskyvolleyball.com/,
Bricks R Us,https://www.bricksrus.com/,,NC,Unknown,pickleball; tennis,Indoor,,,,,,terry@bricksrus.com,,,,,,,,bricksrus.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.bricksrus.com/ | https://www.bricksrus.com/fundraising/about/ | https://www.bricksrus.com/contact/,Playwright,https://bricksrus.com,https://www.bricksrus.com/,
Brunswick Community College,https://brunswickcc.edu/,Southport,NC,College / University,basketball; volleyball,Indoor,,,,,,,,,,,,,,brunswickcc.edu,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://brunswickcc.edu/ | https://brunswickcc.edu/about/ | https://brunswickcc.edu/about/accreditation-affiliations/ | https://brunswickcc.edu/about/alumni/ | https://brunswickcc.edu/about/campus-safety-security/ | https://brunswickcc.edu/about/employment-opportunities/ | https://brunswickcc.edu/about/sports-aquatics-complex/,Playwright,https://brunswickcc.edu,https://brunswickcc.edu/,
Burlington Sporting Goods,https://bsgbc.weebly.com/,Burlington,NC,School,basketball; volleyball,Indoor,,,,,,,,,,,,,,bsgbc.weebly.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://bsgbc.weebly.com/ | https://bsgbc.weebly.com/facility-rentals.html | https://bsgbc.weebly.com/membership.html | https://bsgbc.weebly.com/gym-rentals.html,Playwright,https://bsgbc.weebly.com,https://bsgbc.weebly.com/,
Camels Basketball School,https://camelsbasketballschool.com/About%20Us,,NC,College / University,basketball; volleyball,Indoor,,,,,,camelsbasketballschool@outlook.com,,,,,,,,camelsbasketballschool.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://camelsbasketballschool.com/About%20Us | https://camelsbasketballschool.com/Staff | https://camelsbasketballschool.com/Facilities,Playwright,https://camelsbasketballschool.com,https://camelsbasketballschool.com/About%20Us,
Cameron Indoor Stadium,https://www.durhamindoorstadium.com/,Durham,NC,College / University,basketball; volleyball,Indoor,,,,,,,,,,,,,,durhamindoorstadium.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.durhamindoorstadium.com/ | https://www.durhamindoorstadium.com/contact/ | https://www.durhamindoorstadium.com/information/,Playwright,https://durhamindoorstadium.com,https://www.durhamindoorstadium.com/,
Camp Lucky Board and Train,https://campluckytraining.com/,,NC,Unknown,basketball,Indoor,,,Aaron,Rustici,Owner,,info@campluckytraining.com,aaron@campluckytraining.com,aaron.rustici@campluckytraining.com,aaronrustici@campluckytraining.com,arustici@campluckytraining.com,a.rustici@campluckytraining.com,aaronr@campluckytraining.com,campluckytraining.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: phone. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://campluckytraining.com/ | https://campluckytraining.com/oklahoma-city/board-and-train/ | https://campluckytraining.com/contact/,Playwright,https://campluckytraining.com,https://campluckytraining.com/,
Carolina Alliance Volleyball,https://carolinaalliancevb.com/,Morrisville,NC,Health Club,volleyball,Indoor,,,,,,carolinaalliancevb@gmail.com,,,,,,,,carolinaalliancevb.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank.,https://carolinaalliancevb.com/ | https://carolinaalliancevb.com/our-staff/ | https://carolinaalliancevb.com/contact/ | http://carolinaalliancevb.com/our-staff/,Playwright,https://carolinaalliancevb.com,https://carolinaalliancevb.com/,
Carolina CHAOS Volleyball Club,https://www.carolinachaosvolleyball.org/,Concord,NC,College / University,volleyball,Indoor,,,,,,,,,,,,,,carolinachaosvolleyball.org,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.carolinachaosvolleyball.org/ | https://www.carolinachaosvolleyball.org/aboutus,Playwright,https://carolinachaosvolleyball.org,https://www.carolinachaosvolleyball.org/,
Carolina Christian School,https://www.carolinachristianschool.com/,Locust,NC,School,tennis,Indoor,,,,,,,,,,,,,,carolinachristianschool.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.carolinachristianschool.com/ | https://www.carolinachristianschool.com/about/about-carolina | https://www.carolinachristianschool.com/about/about-carolina/welcome | https://www.carolinachristianschool.com/about/mission-vision | https://www.carolinachristianschool.com/about/quick-facts-history | https://www.carolinachristianschool.com/about/leadership | https://www.carolinachristianschool.com/about/faculty-staff,Playwright,https://carolinachristianschool.com,https://www.carolinachristianschool.com/,
Carolina Juniors Volleyball,https://carolinajuniors.com/,Charlotte,NC,School,pickleball; tennis; volleyball,Indoor,,,,,,,office@carolinajuniors.com,,,,,,,carolinajuniors.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://carolinajuniors.com/ | https://carolinajuniors.com/about-us/ | https://carolinajuniors.com/local-team-programs/ | https://carolinajuniors.com/travel-team-programs/platinum-team-program/ | https://carolinajuniors.com/travel-team-programs/gold-team-program/ | https://carolinajuniors.com/travel-team-programs/silver-team-program/ | https://carolinajuniors.com/travel-team-programs/,Playwright,https://carolinajuniors.com,https://carolinajuniors.com/,
Carolina Pickleball Club,https://pbhickory.com/,Hickory,NC,Pickleball Club,pickleball,Indoor,8,"d Open Play, Ladders, and other events… • Reserve up to 7 days in advance • Reserve up to 8 courts per week • Reserve up to 8 courts per day • Cancel reservations up to 23 hours in advance",,,,jobs@carolinapickleball.net,hello@carolinapickleball.net,,,,,,,carolinapickleball.net,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. Paid access signals present (membership/rental/program).,https://pbhickory.com/ | https://pbhickory.com/all-programh/ | https://pbhickory.com/courtreservesignup/ | https://pbhickory.com/about-us/ | https://pbhickory.com/contact/ | https://pbhickory.com/MEMBERSHIP/ | https://pbhickory.com/membership-terms-legal-and-privacy-agreement/,Playwright,https://pbhickory.com,https://pbhickory.com/,
Carolina Select Volleyball Club,https://www.carolinaselectvc.com/,Hickory,NC,Sportsplex,volleyball,Indoor,,,,,,carolinaselectdirector@gmail.com,,,,,,,,carolinaselectvc.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.carolinaselectvc.com/ | https://www.carolinaselectvc.com/aboutus | https://www.carolinaselectvc.com/page/show/6211219-csvc-programs,Playwright,https://carolinaselectvc.com,https://www.carolinaselectvc.com/,
Carolina University Athletics,https://cubruins.com/,Winston-Salem,NC,College / University,basketball; volleyball,Indoor,,,,,,,,,,,,,,cubruins.com,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://cubruins.com/ | https://cubruins.com/sports/2018/1/13/about.aspx | https://cubruins.com/staff-directory | https://cubruins.com/facilities,Playwright,https://cubruins.com,https://cubruins.com/,
Central Piedmont,https://www.cpcc.edu/,Charlotte,NC,College / University,basketball,Indoor,,,,,,,,,,,,,,cpcc.edu,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.cpcc.edu/ | https://www.cpcc.edu/academics/academic-programs | https://www.cpcc.edu/programs/continuing-education-and-personal-enrichment | https://www.cpcc.edu/academics/academic-resources/academic-engagement/honors-program | https://www.cpcc.edu/student-experience/student-life/student-leadership-opportunities | https://www.cpcc.edu/about-central-piedmont | https://www.cpcc.edu/about-central-piedmont/college-leadership,Playwright,https://cpcc.edu,https://www.cpcc.edu/,
Charlotte Independence Soccer Club,https://www.independencesoccer.club/,Cornelius,NC,College / University,basketball; futsal,Indoor,,,Thomas,Finlay,CEO,thomasf@independencesoccer.club,info@independencesoccer.club,,,,,,,independencesoccer.club,Confirmed Indoor,Indoor court language found on site. NC location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.independencesoccer.club/ | https://www.independencesoccer.club/girls-programs | https://www.independencesoccer.club/boys-programs | https://www.independencesoccer.club/about | https://www.independencesoccer.club/staff-page | https://www.independencesoccer.club/state-program,Playwright,https://independencesoccer.club,https://www.independencesoccer.club/,
